ca2,ca4,ca6,ca8,cb2,cb4,cb6,cb8
2,4,0,0,1,0,0,0
0,0,0,0,1,0,0,0
11,7,8,2,1,0,0,4
0,0,0,1,0,0,0,0
34,52,9,2,9,12,7,9
7,4,2,1,3,0,0,0
0,0,0,0,0,0,2,1
38,23,7,2,16,4,2,3
0,2,0,0,3,0,0,0
0,0,0,0,1,0,0,0
1,1,1,0,0,0,0,0
0,0,1,0,0,0,0,0
5,10,6,4,7,5,3,1
5,5,7,0,7,4,4,13
1,0,0,0,0,0,0,0
0,0,1,1,0,1,1,1
0,0,0,0,0,1,0,0
2,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,2,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0
1,0,3,1,1,0,0,0
1,0,2,0,0,0,0,0
2,0,4,0,1,0,0,0
1,0,0,0,1,0,0,0
0,0,1,0,1,0,0,1
2,2,0,0,2,0,0,2
1,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0
0,0,0,0,1,0,0,0
44,26,44,6,8,10,14,14
1,4,8,2,0,1,0,0
1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
