1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31
0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,1
4,1,1,0,2,2,4,0,0,1,0,1,0,1,0,0
8,4,1,1,1,11,23,3,0,5,1,0,4,7,0,6
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
40,34,27,8,13,13,81,14,3,16,1,2,12,29,0,8
7,5,7,2,1,5,19,4,0,2,0,5,1,3,4,2
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,4,0,1,1,1,2,2,0,0,0,0,1,2,0,3
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0
0,7,1,1,0,6,1,0,1,4,0,4,0,0,0,0
3,0,2,2,1,8,11,2,1,5,0,5,1,4,0,4
0,0,0,1,2,0,4,1,0,1,1,0,0,0,1,0
0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
9,16,8,5,2,2,7,7,6,3,3,2,10,6,0,4
23,23,7,5,6,5,9,4,2,3,3,2,4,15,2,17
0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,3,1,0,0,0,1,1,0,0,0,0,0,0,1,1
0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,13,2,24,10,1,0,2,0,1,0,0,14,17,6,9
4,0,1,7,2,2,3,1,0,0,0,2,4,2,1,2
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,3,5,0,2,2,2,1,0,4,1,0,1,3,0,1
5,10,8,5,3,2,3,10,6,7,7,5,4,5,4,4
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,12,5,6,4,1,7,2,1,0,0,0,0,6,0,0
0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0
27,16,15,10,7,1,4,0,1,15,3,8,9,26,8,19
62,23,154,15,11,6,1,3,0,59,28,7,101,48,10,83
4,0,0,1,2,3,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9,5,50,19,14,12,22,1,1,38,9,16,21,29,14,28
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5,0,0,3,0,1,0
3,1,0,0,0,0,2,0,0,1,1,0,3,2,2,0
1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,2,1,1,1,0,0,0,2,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,6,3,1,0,0,3,2,1,1,0,0,2,6,0,2
0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,1,1,0,0,0,0,2,0,0,1,0
4,0,0,3,0,0,0,0,0,0,0,2,1,1,1,8
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,2,0,1,4,0,1,0,1,0,0,1,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0,1,0,0,0,2,3,0,0,9,1,5,3,2
2,3,0,1,2,2,3,0,1,1,0,3,1,2,1,1
11,1,0,1,0,2,7,1,0,2,0,0,1,1,0,3
1,1,0,0,2,3,0,0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
