trap,strata,alardus,aliphera,amphichloe,amphinome,anacreon,anaphus,annulata,artacaena,astylos,aurimna,binocula,blomfildia,bogotanus,busirus,cassina,caunus,chiron,cyaniris,demophon,dirce,egregius,erosus,erota,fabius,fulgerator,galanthis,genoveva,gerdrudtus,harmonia,helenor,hermes,hyperia,iphiclus,iulia,juno,laertes,laothoe,laurentia,lavinia,loxus,maimon,mora,moruus,naxia,neaerea,neaeris,numilia,nympha,octomaculata,panariste,pavon,pavonii,phylaca,porcius,postverta,ryphea,sp1,sp2,stelenes,thamyra,thrasibulus,thraso,tryxus,uzza
c1,canopy,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,31,0,0,0,0,0,0,0,0
c3,canopy,0,0,2,4,0,0,0,2,0,0,0,9,0,10,2,0,0,2,1,0,0,2,0,1,0,1,0,0,0,0,1,1,6,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,1,38,0,0,1,0,0,0,0,0
c5,canopy,0,0,0,2,0,0,0,2,0,0,0,1,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,7,0,0,1,0,0,0,0,0
c7,canopy,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,7,1,0,0,0,0,0,0,0
c9,canopy,0,0,0,9,0,0,0,1,1,0,0,1,0,8,0,0,0,1,14,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,12,0,4,0,3,15,0,1,1,0,0,2,0,0
c11,canopy,0,0,0,9,0,0,1,1,0,0,0,1,1,4,0,0,0,1,5,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,12,3,0,0,0,1,1,0,0
c13,canopy,1,1,0,3,1,0,1,1,0,0,0,0,0,1,0,1,1,0,7,4,0,10,0,0,0,0,0,0,0,0,0,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,6,22,1,0,0,0,0,0,0,0
c15,canopy,0,0,0,26,0,0,0,3,0,1,0,2,1,11,0,0,2,3,21,2,0,6,0,1,0,0,2,2,0,0,0,4,10,4,1,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,5,5,10,0,5,29,0,0,1,0,0,1,1,0
u1,understorey,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,3,1,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,3,0,0,1,0,2,0,0
u3,understorey,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,19,0,0,2,0,0,0,0,0
u5,understorey,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,3,6,3,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,20,4,0,1,0,0,0,0,0
u7,understorey,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,3,1,0,0,0,0,1,0,0
u9,understorey,0,0,0,0,0,0,0,0,2,0,0,0,0,68,0,1,0,0,0,3,1,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,1,0,0,1,1,2,0
u11,understorey,0,0,0,0,0,0,0,0,4,0,0,0,0,38,0,0,0,0,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1
u3,understorey,0,0,0,0,0,0,0,0,5,0,0,0,0,22,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,1,0,0,0,0,1,0,0
u15,understorey,0,0,0,0,0,0,0,2,0,0,0,0,0,19,0,1,0,1,1,2,0,13,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,2,0,0,2,5,1,1,0,0,3,2,1,0
