trap,strata,PosicionParcela,acesta,acheronta,aletta,amphichloe,amphimachus,amphinome,artacaena,atreus,binocula,blomfildia,busirus,camilla,cassina,cassius,cleora,cyaniris,demophon,demophoon,dirce,fabius,galanthis,gerdrudtus,gnorima,helenor,hermes,hyperia,iphiclus,laertes,laothoe,libye,memnon,nympha,occirhoe,odius,pavon,pavonii,phylaca,postverta,renata,ryphea,sp1,stelenes,thamyra,uzza,zemira
c2,canopy,2,0,2,0,11,0,34,7,0,0,38,0,0,1,0,0,5,5,1,0,0,2,0,0,0,0,0,1,1,2,1,0,0,0,2,1,0,0,0,0,44,1,1,0,0,0
c4,canopy,4,0,4,0,7,0,52,4,0,0,23,2,0,1,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,4,0,1,0,0
c6,canopy,6,0,0,0,8,0,9,2,0,0,7,0,0,1,1,0,6,7,0,1,0,1,0,0,0,0,0,3,2,4,0,0,1,0,0,1,0,0,0,0,44,8,0,0,0,0
c8,canopy,8,0,0,0,2,1,2,1,0,0,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,6,2,0,0,0,0
c10,canopy,2,0,1,1,1,0,9,3,0,0,16,3,1,0,0,0,7,7,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,2,0,0,0,0,1,8,0,0,0,0,0
c12,canopy,4,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,5,4,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,0,0,0,0
c14,canopy,6,0,0,0,0,0,7,0,0,2,2,0,0,0,0,0,3,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
c16,canopy,8,0,0,0,4,0,9,0,0,1,3,0,0,0,0,0,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,14,0,0,0,0,0
u2,understorey,2,0,0,0,13,0,0,0,0,0,4,1,0,0,0,0,33,3,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,43,1,0,0,0,1
u4,understorey,4,1,0,0,5,0,1,0,0,1,1,0,0,0,0,0,39,2,0,0,0,0,0,0,5,1,0,0,0,0,0,1,3,0,0,0,1,0,0,0,33,4,0,4,0,0
u6,understorey,6,0,1,0,11,0,1,0,0,0,1,0,0,0,0,0,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,7,0,0,2,0,0
u8,understorey,8,0,0,0,3,0,1,0,0,3,1,0,0,1,0,0,10,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,19,2,0,1,0,0
u10,understorey,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,4,0,0
u12,understorey,4,0,0,5,0,0,0,1,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0
u14,understorey,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,3,0,0
u16,understorey,8,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,3,0,0
